string_field_0,string_field_3,string_field_6,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_45
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,,Python,,SQL,,,,,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,,,,,,,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,,,,,,,,,C,Perl,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,,,,Ruby,,,C++,C,,,,"$100,000 - $120,000"
United States of America,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,Objective-C,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,,,,,,"$100,000 - $120,000"
North America (Other),41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Canada,11,Web Application Developer,Java,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,"$100,000 - $120,000"
Australasia,41435,Web Application Developer,Java,JavaScript,,,,Ruby,,,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,,,,,,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,Perl,,,"$100,000 - $120,000"
Africa,11,Web Application Developer,,,,PHP,,,SQL,,,,,None,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,,Ruby,SQL,,,,Perl,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Other Europe,11,Web Application Developer,Java,JavaScript,,,,,,,,C,,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,Java,,,,,,SQL,C#,,,,,VB.NET,"$100,000 - $120,000"
Other Europe,11,Web Application Developer,,,CSS,,,,SQL,C#,C++,,,,,"$100,000 - $120,000"
Australia,11,Web Application Developer,,,,,,,SQL,,,,,,coldfusion,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,C++,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,,,,,,vb.net,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Other Europe,11,Web Application Developer,,,,,,Ruby,,,,,,,,"$100,000 - $120,000"
Other Europe,11,Web Application Developer,,,,,,,SQL,C#,,,,,Delphi,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$100,000 - $120,000"
Other Europe,41435,Web Application Developer,Java,JavaScript,CSS,,Python,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,,,,,SQL,,C++,,Perl,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,HTML,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,,,,,,,,,,,,ColdFusion,"$100,000 - $120,000"
Other Europe,11,Web Application Developer,,JavaScript,,PHP,Python,,SQL,C#,,,Perl,,,"$100,000 - $120,000"
Other Europe,11,Web Application Developer,Java,,,,Python,,,,C++,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,VB.Net,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,C,,,Wasabi,"$100,000 - $120,000"
United Kingdom,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,,,,,,SQL,,,C,Perl,,Shell,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,"$100,000 - $120,000"
United Kingdom,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,,,,,Ruby,,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,,,,,Groovy,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,Java,,,,,,SQL,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,,Python,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,,Ruby,SQL,,,,,,Objective-C,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,JavaScript,,,,Ruby,,,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,Java,,CSS,PHP,,,SQL,,,,Perl,,,"$100,000 - $120,000"
Other Europe,11,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,C,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,,"$100,000 - $120,000"
United Kingdom,41435,Web Application Developer,,JavaScript,,,,,,C#,C++,,,,Java,"$100,000 - $120,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,,,C#,,,,,,"$100,000 - $120,000"
South America,41435,Desktop Application Developer,,JavaScript,,,Python,,SQL,,,C,,,,"$100,000 - $120,000"
United States of America,41435,Desktop Application Developer,,,,,,,SQL,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,JavaScript,CSS,,,Ruby,SQL,C#,C++,,Perl,,,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,Python,,,,C++,C,,,Objective C,"$100,000 - $120,000"
Australia,41310,Desktop Application Developer,,,,,,,,C#,,,,,LISP,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,,,,C#,C++,,,,,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,JavaScript,CSS,,Python,Ruby,SQL,C#,C++,,Perl,,,"$100,000 - $120,000"
United States of America,41435,Desktop Application Developer,,JavaScript,CSS,,Python,Ruby,SQL,C#,,,,,"F#,VB6","$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,PHP,,,SQL,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,41435,Desktop Application Developer,,,,,,,,C#,,,,,f#,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,,,SQL,C#,C++,C,,,PowerShell,"$100,000 - $120,000"
Australia,11,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,41435,Desktop Application Developer,,,CSS,,,,SQL,C#,,,,,VB.NET,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,,,SQL,,,,,,vb.net,"$100,000 - $120,000"
Canada,11,Desktop Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Other Europe,41435,Desktop Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,,,,F#,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,Java,,,,,,SQL,,C++,C,,,"LabVIEW, VB.NET","$100,000 - $120,000"
United States of America,41435,Desktop Application Developer,Java,JavaScript,,PHP,,,SQL,C#,,C,Perl,,Delphi,"$100,000 - $120,000"
Australia,11,Desktop Application Developer,,,,,,,SQL,,,,,,PL/SQL,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,,,,C#,,,,,,"$100,000 - $120,000"
United States of America,41435,Desktop Application Developer,,JavaScript,CSS,,Python,,,C#,C++,C,,,,"$100,000 - $120,000"
Australia,11,Desktop Application Developer,Java,,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Other Europe,11,Desktop Application Developer,Java,,,,,,,,C++,,,,,"$100,000 - $120,000"
Australia,41435,Desktop Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,,,,C#,C++,C,,,"SAS Datastep, JMP Scripting Language","$100,000 - $120,000"
United States of America,11,Desktop Application Developer,Java,,,,,Ruby,,,C++,C,,,Lisp,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,,,,,C++,C,,,Tcl,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,PHP,,Ruby,,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,41310,Desktop Application Developer,Java,,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Other Europe,11,Desktop Application Developer,Java,,CSS,,,,SQL,,C++,,,,,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,CSS,PHP,,,SQL,C#,C++,C,Perl,,,"$100,000 - $120,000"
United Kingdom,11,Desktop Application Developer,Java,,,,,,,,,,,,,"$100,000 - $120,000"
United Kingdom,11,Desktop Application Developer,,,,,,,SQL,C#,C++,,,,,"$100,000 - $120,000"
United Kingdom,11,Desktop Application Developer,,JavaScript,CSS,,Python,,,C#,C++,C,,,,"$100,000 - $120,000"
Australia,11,Desktop Application Developer,,JavaScript,,,Python,Ruby,SQL,C#,C++,C,,,"Realbasic, Objective-C","$100,000 - $120,000"
Other Europe,11,Desktop Application Developer,,,CSS,,,,SQL,C#,C++,,,,,"$100,000 - $120,000"
United States of America,11,Desktop Application Developer,,,,,,,SQL,C#,C++,,,,,"$100,000 - $120,000"
United States of America,11,Embedded Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,11,Embedded Application Developer,Java,JavaScript,CSS,,Python,Ruby,SQL,C#,C++,C,Perl,,R VB,"$100,000 - $120,000"
United States of America,11,Embedded Application Developer,,,,,,,,,C++,C,,,bash,"$100,000 - $120,000"
Germany,11,Embedded Application Developer,,,,,,,SQL,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,11,Embedded Application Developer,,,,,,,,C#,C++,C,Perl,,,"$100,000 - $120,000"
United States of America,11,Embedded Application Developer,Java,,,,Python,,,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,41435,Embedded Application Developer,,,,,Python,,,,C++,C,Perl,,,"$100,000 - $120,000"
United States of America,41435,Embedded Application Developer,,,,,Python,,,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,11,Embedded Application Developer,,,,,,,,,,C,,,Objective-C,"$100,000 - $120,000"
Middle East,41310,Embedded Application Developer,,JavaScript,CSS,PHP,,,,,C++,C,,,,"$100,000 - $120,000"
Australasia,11,IT Staff / System Administrator,,,CSS,,,,SQL,C#,C++,,,,,"$100,000 - $120,000"
United States of America,11,IT Staff / System Administrator,,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,,"$100,000 - $120,000"
Canada,41435,IT Staff / System Administrator,,,,,Python,,SQL,,,C,Perl,,,"$100,000 - $120,000"
United States of America,11,IT Staff / System Administrator,,,,,,,,,,,Perl,,shell,"$100,000 - $120,000"
United Kingdom,41310,IT Staff / System Administrator,,,,,Python,,,,,,Perl,,,"$100,000 - $120,000"
United States of America,11,IT Staff / System Administrator,,JavaScript,,,,,SQL,,C++,C,Perl,,lua,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,Java,,,,,,,,,C,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,,,,,,,,,,,None,,"$100,000 - $120,000"
United Kingdom,11,Manager of Developers or Team Leader,,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,"$100,000 - $120,000"
Other Europe,11,Manager of Developers or Team Leader,Java,JavaScript,,,,Ruby,SQL,,,,,,,"$100,000 - $120,000"
Australia,11,Manager of Developers or Team Leader,Java,,,,,,SQL,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,41435,Manager of Developers or Team Leader,,,CSS,PHP,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,Java,,,,Python,,SQL,C#,,,Perl,,,"$100,000 - $120,000"
United States of America,41435,Manager of Developers or Team Leader,Java,,,,Python,,,C#,C++,C,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Canada,11,Manager of Developers or Team Leader,,,,,,,,,,,,,Webfocus,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Australia,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,Java,,CSS,,,,SQL,,C++,C,Perl,,"Common Lisp, Clojure, Scala, LaTeX","$100,000 - $120,000"
Other Europe,11,Manager of Developers or Team Leader,Java,,,,,,SQL,,,,,,,"$100,000 - $120,000"
Australia,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Canada,11,Manager of Developers or Team Leader,,JavaScript,,,Python,,SQL,,,C,,,Objective-C,"$100,000 - $120,000"
Other Europe,11,Manager of Developers or Team Leader,Java,JavaScript,CSS,,,,SQL,,,,,,,"$100,000 - $120,000"
Canada,11,Manager of Developers or Team Leader,,,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Canada,11,Manager of Developers or Team Leader,Java,JavaScript,,,,Ruby,,,C++,,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,Java,JavaScript,,,,,,,,C,Perl,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,Java,JavaScript,CSS,,,,SQL,,,C,,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,Perl,,,"$100,000 - $120,000"
United States of America,41435,Manager of Developers or Team Leader,,,,,,,SQL,C#,,,Perl,,,"$100,000 - $120,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,PHP,,,SQL,,,,,,,"$100,000 - $120,000"
Australia,11,Manager of Developers or Team Leader,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"$100,000 - $120,000"
United Kingdom,11,Manager of Developers or Team Leader,,JavaScript,,PHP,,,SQL,,,,,,Java,"$100,000 - $120,000"
United Kingdom,11,Manager of Developers or Team Leader,,,,,,,,C#,C++,C,,,Java,"$100,000 - $120,000"
United States of America,41435,"Executive (VP of Eng, CTO, CIO, etc.)",,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,"$100,000 - $120,000"
United States of America,11,"Executive (VP of Eng, CTO, CIO, etc.)",,JavaScript,CSS,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Canada,41435,"Executive (VP of Eng, CTO, CIO, etc.)",Java,JavaScript,CSS,,,Ruby,SQL,C#,C++,,,,Objective-C,"$100,000 - $120,000"
Other Europe,41435,"Executive (VP of Eng, CTO, CIO, etc.)",Java,,,PHP,Python,,SQL,C#,C++,C,,,,"$100,000 - $120,000"
Other Europe,11,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,,,SQL,C#,,,,,,"$100,000 - $120,000"
Mexico,11,"Executive (VP of Eng, CTO, CIO, etc.)",,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$100,000 - $120,000"
United States of America,11,"Executive (VP of Eng, CTO, CIO, etc.)",,JavaScript,CSS,,,,SQL,C#,C++,C,,,VB,"$100,000 - $120,000"
United States of America,11,"Executive (VP of Eng, CTO, CIO, etc.)",Java,JavaScript,CSS,,,,SQL,,,C,Perl,,Scala,"$100,000 - $120,000"
South America,11,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,,,,,,,,None,,"$100,000 - $120,000"
United States of America,11,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,,,,C#,C++,C,,,,"$100,000 - $120,000"
United Kingdom,11,Other,Java,JavaScript,,,Python,,,,,,,,,"$120,000 - $140,000"
United States of America,41435,Other,,JavaScript,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,41435,Other,,,,,,,SQL,,,,,,,"$120,000 - $140,000"
United States of America,11,Other,Java,JavaScript,CSS,,,,SQL,,,,Perl,,,"$120,000 - $140,000"
United States of America,41435,Other,,,,,,,,C#,C++,,,,,"$120,000 - $140,000"
United States of America,11,Other,,,,,Python,,SQL,,,C,Perl,,,"$120,000 - $140,000"
United Kingdom,11,Other,,,,,Python,Ruby,,,,C,Perl,,z/Assembler,"$120,000 - $140,000"
Australia,11,Other,,JavaScript,CSS,,Python,,SQL,C#,C++,C,,,,"$120,000 - $140,000"
United States of America,11,IT Manager,,,,,,,,C#,,,,,,"$120,000 - $140,000"
Australasia,11,IT Manager,,,,,,,SQL,,C++,C,,,,"$120,000 - $140,000"
Canada,11,Systems Analyst,,,CSS,,,,SQL,C#,,,,,VBA,"$120,000 - $140,000"
United States of America,11,Systems Analyst,,JavaScript,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Systems Analyst,,JavaScript,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Server Programmer,Java,,,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Server Programmer,Java,JavaScript,CSS,,Python,,,,C++,C,,,matlab,"$120,000 - $140,000"
Australia,11,Server Programmer,Java,,,,,Ruby,,,C++,C,,,,"$120,000 - $140,000"
Australia,11,Server Programmer,Java,,,,,,,,,,,,,"$120,000 - $140,000"
United States of America,11,Server Programmer,Java,JavaScript,,,,,SQL,,,,,,,"$120,000 - $140,000"
United States of America,11,Server Programmer,Java,JavaScript,CSS,,,,SQL,,,,,,,"$120,000 - $140,000"
United States of America,11,Server Programmer,Java,,,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United Kingdom,11,Server Programmer,,,CSS,PHP,,,SQL,C#,C++,,,,many,"$120,000 - $140,000"
United States of America,11,Server Programmer,Java,,,,,,SQL,,C++,C,,,Scala,"$120,000 - $140,000"
United States of America,11,Server Programmer,Java,,,,,,SQL,,C++,C,,,FORTRAN,"$120,000 - $140,000"
United States of America,11,Server Programmer,Java,,,,,,,C#,C++,C,,,Groovy,"$120,000 - $140,000"
United Kingdom,11,Database Administrator,,JavaScript,,,,,SQL,,,,,,,"$120,000 - $140,000"
United States of America,11,Database Administrator,,,,,,,SQL,C#,,,,,,"$120,000 - $140,000"
Other Europe,11,Kernel / Driver Developer,Java,,,,Python,Ruby,,,C++,C,,,,"$120,000 - $140,000"
United States of America,41435,Web Application Developer,,JavaScript,,,Python,,,,C++,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,Java,,CSS,,,,SQL,C#,C++,C,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,Java,JavaScript,,,Python,,SQL,,C++,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,Ruby,,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,,"$120,000 - $140,000"
United Kingdom,11,Web Application Developer,,,,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,,JavaScript,,,,,,C#,C++,C,,,assembly language,"$120,000 - $140,000"
United Kingdom,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,41310,Web Application Developer,Java,JavaScript,CSS,,Python,,,,,,,,,"$120,000 - $140,000"
Australia,11,Web Application Developer,Java,,,,Python,,SQL,,,,,,,"$120,000 - $140,000"
United Kingdom,11,Web Application Developer,Java,JavaScript,CSS,,Python,Ruby,SQL,,,,,,,"$120,000 - $140,000"
Australia,11,Web Application Developer,,,,,,,,C#,,,,,,"$120,000 - $140,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,,Python,,SQL,,,,,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,,,C,Perl,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,,Ruby,SQL,,,,,,,"$120,000 - $140,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,C#,,C,Perl,,,"$120,000 - $140,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,,,,,,"Java, XSLT","$120,000 - $140,000"
United States of America,41435,Web Application Developer,,JavaScript,,,,Ruby,,,C++,C,Perl,,Scheme,"$120,000 - $140,000"
Australia,11,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"$120,000 - $140,000"
Australia,11,Desktop Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,Perl,,,"$120,000 - $140,000"
United Kingdom,11,Desktop Application Developer,,,,,Python,,SQL,C#,,C,,,Delphi,"$120,000 - $140,000"
United States of America,11,Desktop Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,41435,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Desktop Application Developer,,JavaScript,CSS,PHP,,,,,C++,C,,,,"$120,000 - $140,000"
United States of America,11,Desktop Application Developer,,JavaScript,,PHP,,,,,C++,,,,,"$120,000 - $140,000"
Germany,11,Desktop Application Developer,,,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United Kingdom,11,Desktop Application Developer,,,,,,,SQL,C#,,,,,VB6,"$120,000 - $140,000"
United States of America,11,Desktop Application Developer,Java,,,,Python,,,,C++,,,,,"$120,000 - $140,000"
United Kingdom,11,Desktop Application Developer,,,,,,,,,C++,C,,,Delphi,"$120,000 - $140,000"
Other Europe,11,Desktop Application Developer,Java,,CSS,,,,SQL,,C++,C,,,"Object Pascal, Prolog","$120,000 - $140,000"
Canada,11,Desktop Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,VB.NET,"$120,000 - $140,000"
United States of America,11,Desktop Application Developer,,,CSS,PHP,Python,,SQL,,C++,C,Perl,,,"$120,000 - $140,000"
United States of America,11,Desktop Application Developer,,JavaScript,,,,,SQL,C#,C++,C,,,,"$120,000 - $140,000"
United States of America,41435,Desktop Application Developer,,,,,,,,C#,,,,,VB 6,"$120,000 - $140,000"
Other Europe,11,Desktop Application Developer,,JavaScript,CSS,,,,,,C++,C,,,,"$120,000 - $140,000"
United States of America,11,Embedded Application Developer,Java,,,,,,SQL,C#,C++,,,,,"$120,000 - $140,000"
United States of America,11,Embedded Application Developer,,,,,,,,,C++,C,,,,"$120,000 - $140,000"
United States of America,11,Embedded Application Developer,,,,,,,,,C++,C,Perl,,,"$120,000 - $140,000"
United States of America,11,Embedded Application Developer,Java,,,,Python,,SQL,,C++,C,,,FORTRAN,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,,"$120,000 - $140,000"
United States of America,41435,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,VB.NET,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,,,,,,,SQL,C#,,,,,,"$120,000 - $140,000"
Other Europe,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,,,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
Canada,11,Manager of Developers or Team Leader,,JavaScript,,PHP,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,,,CSS,,,Ruby,SQL,,,,,,,"$120,000 - $140,000"
Canada,11,Manager of Developers or Team Leader,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
Australia,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,C,,,,"$120,000 - $140,000"
Germany,11,Manager of Developers or Team Leader,Java,,CSS,,Python,Ruby,,,C++,,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,Java,JavaScript,,,,Ruby,,,,,,,Scala,"$120,000 - $140,000"
Other Europe,11,Manager of Developers or Team Leader,,,,,,,,,,,,,delphi,"$120,000 - $140,000"
Other Asia,11,Manager of Developers or Team Leader,,,,,Python,,,,C++,C,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,,,,,,,SQL,,,,,,Delphi,"$120,000 - $140,000"
United States of America,41310,Manager of Developers or Team Leader,Java,JavaScript,CSS,,,,SQL,,,,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,Java,,CSS,PHP,,,SQL,C#,,,,,,"$120,000 - $140,000"
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,C++,C,,,,"$120,000 - $140,000"
