string_field_0,string_field_5,string_field_6,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53
Finland,11,Embedded Application Developer,"$20,000 - $40,000",C,,,,,,,,Python,,,
United States,11,Embedded Application Developer,"$60,000 - $80,000",,,,,,,,PHP,Python,,,
Poland,<2,Embedded Application Developer,"<$20,000",C,C++,,,,,,,,,,
Netherlands,2/5/2014,Embedded Application Developer,"$40,000 - $60,000",C,C++,,Java,,,,,Python,,,
France,<2,Embedded Application Developer,,,,,Java,,,,,,,SQL,Scala
Canada,11,Embedded Application Developer,"$120,000 - $140,000",C,,,,,,,,Python,,,Lua
Finland,11,Embedded Application Developer,Rather not say,C,,,,,,,,Python,,,shell scripts
United Kingdom,11,Embedded Application Developer,"$100,000 - $120,000",C,C++,,,,,,,Python,,,VHDL
Australia,11,Embedded Application Developer,Rather not say,,,,,,,,,Python,,SQL,
United States,11,Embedded Application Developer,Rather not say,C,C++,,Java,,,,,,,,Perl
Belgium,2/5/2014,Embedded Application Developer,"$40,000 - $60,000",,C++,C#,,,,,,Python,,,
India,2/5/2014,Embedded Application Developer,Rather not say,C,C++,,Java,,,,,,,,
United States,2/5/2014,Embedded Application Developer,"$80,000 - $100,000",C,C++,,Java,,,,,Python,,,
United Kingdom,11,Embedded Application Developer,"$100,000 - $120,000",C,C++,,,,,,,Python,,,
United States,11,Embedded Application Developer,"$100,000 - $120,000",C,C++,,,,,,,Python,,,
Slovenia,11,Embedded Application Developer,"<$20,000",,C++,,,,,Objective-C,PHP,,,SQL,
United States,11,Embedded Application Developer,Rather not say,,,,,,,,,,,,
United Kingdom,6/10/2014,Embedded Application Developer,"$60,000 - $80,000",,C++,,,JavaScript,,,PHP,,,SQL,
Switzerland,11,Embedded Application Developer,"$120,000 - $140,000",C,C++,,,,,,,,,,
United States,11,Embedded Application Developer,"$100,000 - $120,000",C,C++,,Java,,,,,,,,
France,11,Embedded Application Developer,"$40,000 - $60,000",C,,,,,,,,Python,,,bash
Italy,11,Embedded Application Developer,Rather not say,C,C++,,,JavaScript,,,,,,,Prolog
Turkey,6/10/2014,Embedded Application Developer,"<$20,000",,C++,,,,,,PHP,,,,
United States,11,Embedded Application Developer,"$120,000 - $140,000",C,C++,,,JavaScript,,,,,,,
United States,6/10/2014,Embedded Application Developer,"$80,000 - $100,000",C,C++,,,,,,,,,,
United States,11,Embedded Application Developer,"$120,000 - $140,000",C,,,,JavaScript,Node.js,,,Python,Ruby,,
China,2/5/2014,Embedded Application Developer,"$20,000 - $40,000",C,C++,,,,,,,,,,
Israel,6/10/2014,Embedded Application Developer,"$100,000 - $120,000",C,C++,,,,,,,,,,
Sweden,11,Embedded Application Developer,">$140,000",C,,,,,,,,,,,Delphi
Spain,11,Embedded Application Developer,"$20,000 - $40,000",C,,,Java,,,,,,,SQL,Perl
Germany,6/10/2014,Embedded Application Developer,"$120,000 - $140,000",C,,,,JavaScript,,,,,,,Perl
United States,6/10/2014,Embedded Application Developer,">$140,000",C,C++,,,,,,,,,,
France,6/10/2014,Embedded Application Developer,"$40,000 - $60,000",C,,,,,,,,,,,
United States,11,Embedded Application Developer,"$80,000 - $100,000",C,,,,,,,,,,,
India,<2,Embedded Application Developer,"<$20,000",C,C++,,,,,,,,,,
Poland,2/5/2014,Embedded Application Developer,Rather not say,C,C++,,,,,,,,,,
United States,<2,Embedded Application Developer,"$40,000 - $60,000",C,C++,,,,,,,Python,,,
United Kingdom,11,Embedded Application Developer,"$80,000 - $100,000",C,,,,,,,,,,,
France,6/10/2014,Embedded Application Developer,"$80,000 - $100,000",C,C++,,,,,,,,,,
Canada,2/5/2014,Embedded Application Developer,Rather not say,,C++,,,,,,,Python,,,
United Kingdom,<2,Embedded Application Developer,"$20,000 - $40,000",C,C++,,,,,,,,,,
Saudi Arabia,2/5/2014,IT Staff / System Administrator,Rather not say,,,,,,,,,,,,
Australia,11,IT Staff / System Administrator,,,,,,,,,,,,,
United States,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,,,,
Singapore,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,,,,,,,,,,,
Russia,6/10/2014,IT Staff / System Administrator,,,,,,,,,,,,,
Malaysia,2/5/2014,IT Staff / System Administrator,"<$20,000",,,,,,,,,,,,None
Malaysia,<2,IT Staff / System Administrator,"<$20,000",,,,,,,,,,,,
Poland,11,IT Staff / System Administrator,"$80,000 - $100,000",,,,,,,,,,,,
United States,2/5/2014,IT Staff / System Administrator,"<$20,000",,,,,,,,,,,,
United Kingdom,11,IT Staff / System Administrator,,,,,,,,,,,,,
United States,11,IT Staff / System Administrator,"$60,000 - $80,000",,,,,,,,,,,,
Turkey,6/10/2014,IT Staff / System Administrator,Rather not say,,,,,,,,,,,,
Singapore,6/10/2014,IT Staff / System Administrator,,,,,,,,,,,,,
Poland,<2,IT Staff / System Administrator,"<$20,000",,,,,,,,,,,,
South Korea,2/5/2014,IT Staff / System Administrator,Student / Unemployed,,,,,,,,,,,,
United States,11,IT Staff / System Administrator,"$100,000 - $120,000",,,,,,,,,,,,
Sweden,<2,IT Staff / System Administrator,Student / Unemployed,,,,Java,JavaScript,,,PHP,,,SQL,
Finland,11,IT Staff / System Administrator,"$60,000 - $80,000",,,,,,,,,,,,
France,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,,,,
United States,6/10/2014,IT Staff / System Administrator,">$140,000",,,,,,,,,,,,
Canada,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
India,2/5/2014,IT Staff / System Administrator,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,Python,,,
France,6/10/2014,IT Staff / System Administrator,Student / Unemployed,,,,,,,,,,,,
United Kingdom,2/5/2014,IT Staff / System Administrator,"$100,000 - $120,000",,C++,,,JavaScript,,,PHP,Python,,SQL,HTML
India,2/5/2014,IT Staff / System Administrator,Student / Unemployed,C,C++,C#,Java,JavaScript,Node.js,,PHP,Python,Ruby,SQL,
Sweden,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,
Finland,11,IT Staff / System Administrator,Rather not say,,,,,JavaScript,,,,,,,perl
United States,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,,,,
Malaysia,2/5/2014,IT Staff / System Administrator,Rather not say,,,,,,,,,Python,,SQL,
Italy,11,IT Staff / System Administrator,"$20,000 - $40,000",,,,,,,,,,,SQL,bash scripting
United States,11,IT Staff / System Administrator,"$80,000 - $100,000",,,,,,,,,Python,,SQL,
United States,2/5/2014,IT Staff / System Administrator,"$60,000 - $80,000",C,C++,C#,Java,JavaScript,,,,,,SQL,"Perl, R, SAS"
United States,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,,
Brazil,2/5/2014,IT Staff / System Administrator,"<$20,000",,,,,JavaScript,Node.js,,,,,,
Turkey,6/10/2014,IT Staff / System Administrator,,,,,,,,,PHP,Python,,,
Bulgaria,<2,IT Staff / System Administrator,Rather not say,,,,,,,,,,,,
United States,11,IT Staff / System Administrator,,,,C#,Java,JavaScript,,,PHP,,,SQL,
United Kingdom,2/5/2014,IT Staff / System Administrator,Rather not say,,,,,,,,PHP,,,,
Argentina,2/5/2014,IT Staff / System Administrator,"<$20,000",,,,Java,,,,,,,SQL,
Russia,2/5/2014,IT Staff / System Administrator,Rather not say,,,,,,,,PHP,,,,ZSH
India,<2,IT Staff / System Administrator,Rather not say,C,C++,,Java,JavaScript,,Objective-C,PHP,Python,,SQL,
Mexico,<2,IT Staff / System Administrator,"$20,000 - $40,000",,,C#,,,,,,Python,,SQL,
Australia,2/5/2014,IT Staff / System Administrator,"<$20,000",,,C#,,JavaScript,,,PHP,,,SQL,
United Kingdom,<2,IT Staff / System Administrator,Rather not say,,,,,,,,,,Ruby,,
Poland,2/5/2014,IT Staff / System Administrator,"<$20,000",C,C++,,,,,,,,,,Bash
United States,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,,Ruby,SQL,
United States,<2,IT Staff / System Administrator,"<$20,000",,,,,JavaScript,,,PHP,Python,,,
United States,11,IT Staff / System Administrator,"$20,000 - $40,000",,,,,,,,,,,SQL,"AutoIt, VBScript, Perl"
Russia,2/5/2014,IT Staff / System Administrator,Rather not say,C,C++,,,,,,,,,SQL,Object Pascal
United States,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",C,C++,C#,,,,,,,,,"Lua, x86 ASM"
United States,<2,IT Staff / System Administrator,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,
Germany,6/10/2014,IT Staff / System Administrator,Rather not say,,C++,,,JavaScript,,,PHP,,,SQL,
United States,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,,,Java,,,,,,,SQL,
United States,2/5/2014,IT Staff / System Administrator,Rather not say,,,,,,,,,Python,,SQL,
Australia,11,IT Staff / System Administrator,">$140,000",,,,Java,JavaScript,Node.js,,,,,SQL,"Perl, JQuery, Velocity"
United States,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,,,Java,,,,,,,SQL,
United States,2/5/2014,IT Staff / System Administrator,,,C++,,,JavaScript,,,PHP,Python,,SQL,
United Kingdom,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,Objective-C,,,,,Perl
Australia,11,IT Staff / System Administrator,"$80,000 - $100,000",,,C#,,JavaScript,,,PHP,,,SQL,
Italy,11,IT Staff / System Administrator,"$20,000 - $40,000",C,C++,,,,,,PHP,,,SQL,
Greece,6/10/2014,IT Staff / System Administrator,"$20,000 - $40,000",,,,,,,,PHP,,,,bash
United Kingdom,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",C,,,,,,,,Python,,SQL,
Poland,11,IT Staff / System Administrator,Rather not say,,,,,JavaScript,Node.js,,PHP,Python,,SQL,
Russia,6/10/2014,IT Staff / System Administrator,,,,,,,,,PHP,,,SQL,
United Kingdom,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,,,,
Italy,2/5/2014,IT Staff / System Administrator,"<$20,000",,,,Java,JavaScript,,,,,,SQL,
United Kingdom,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,C#,Java,,,,,,,,VBS
United Kingdom,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,C++,,Java,JavaScript,Node.js,,,Python,,SQL,
Australia,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",C,,C#,Java,,,,,,,SQL,
United Kingdom,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,Java,,,Objective-C,,,,SQL,"VBA, MatLab"
India,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,,,,R
United States,11,IT Staff / System Administrator,"$80,000 - $100,000",,,,,,,,,,,,
Italy,11,IT Staff / System Administrator,Rather not say,C,C++,,Java,JavaScript,Node.js,,,,Ruby,SQL,
United States,11,IT Staff / System Administrator,"$20,000 - $40,000",,,C#,,JavaScript,Node.js,,PHP,,,,
Israel,11,IT Staff / System Administrator,Rather not say,,,,Java,,,Objective-C,,,,,
Portugal,11,IT Staff / System Administrator,"$20,000 - $40,000",,C++,,Java,,,,,,,,
United States,11,IT Staff / System Administrator,"$120,000 - $140,000",,,,,,,,,Python,,,PowerShell
Australia,11,IT Staff / System Administrator,,,,,,JavaScript,,,PHP,,,,Perl
United States,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,,,,
Austria,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,JavaScript,,,PHP,Python,,,
United Kingdom,11,IT Staff / System Administrator,Student / Unemployed,,,,,JavaScript,,,PHP,,,,"HTML,CSS,PHP,MySQL..."
United States,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,Ruby,SQL,
Egypt,6/10/2014,IT Staff / System Administrator,"<$20,000",,,,,,,,,Python,,SQL,
Israel,11,IT Staff / System Administrator,"$80,000 - $100,000",,,,,,,,PHP,,,SQL,"bash, PERL"
Australia,6/10/2014,IT Staff / System Administrator,Rather not say,,,C#,,JavaScript,,,,,,SQL,
United Kingdom,2/5/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
United States,11,IT Staff / System Administrator,"$100,000 - $120,000",,,,,,,,,Python,,,
United States,<2,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,Python,,,
United States,11,IT Staff / System Administrator,"$60,000 - $80,000",,,,,,,,,Python,,,
United States,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,,,,,,,,,,,PowerShell
Canada,11,IT Staff / System Administrator,"$40,000 - $60,000",C,,,,,,,PHP,,,SQL,
United States,11,IT Staff / System Administrator,"$80,000 - $100,000",,,,,,,,,,,,Perl
Netherlands,6/10/2014,IT Staff / System Administrator,"$20,000 - $40,000",,,,,,,,PHP,Python,,,
Argentina,2/5/2014,IT Staff / System Administrator,"<$20,000",,,C#,,,,,,,,,
United States,11,IT Staff / System Administrator,"$100,000 - $120,000",,,,,,,,,,,SQL,VB.Net (nice snark on your part)
Sweden,11,IT Staff / System Administrator,"$100,000 - $120,000",,,,Java,,,,,,Ruby,SQL,"Perl, shellscript, erlang"
United States,11,IT Staff / System Administrator,"$40,000 - $60,000",,,C#,,,,,,Python,,SQL,
United States,2/5/2014,IT Staff / System Administrator,,,,,Java,JavaScript,,,,,,,
Italy,<2,IT Staff / System Administrator,Student / Unemployed,,,,,,,,,,,,bash
United States,11,IT Staff / System Administrator,"$40,000 - $60,000",,,C#,,,,,,Python,,SQL,
United States,11,IT Staff / System Administrator,">$140,000",,,,,,,,,Python,,,bash
Austria,11,IT Staff / System Administrator,"$80,000 - $100,000",,,,,,,,,,,SQL,"unix shell scripts, xml, xslt, proprietary"
Algeria,6/10/2014,IT Staff / System Administrator,,,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,IT Staff / System Administrator,"<$20,000",,,C#,,JavaScript,,Objective-C,,Python,,SQL,
United States,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,C++,C#,Java,,,,,,,,
United States,11,IT Staff / System Administrator,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,SQL,
Czech Republic,11,IT Staff / System Administrator,"$20,000 - $40,000",,,,,,,,,,,SQL,"PL/SQL, BASH"
Germany,11,IT Staff / System Administrator,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,,Perl
United States,11,IT Staff / System Administrator,"$100,000 - $120,000",,C++,C#,,JavaScript,,,,,,SQL,
Russia,2/5/2014,IT Staff / System Administrator,Student / Unemployed,,,,,JavaScript,,,PHP,,Ruby,SQL,
France,6/10/2014,IT Staff / System Administrator,,,C++,C#,Java,JavaScript,,Objective-C,PHP,,,SQL,F#
Canada,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,,C#,,,,,,,,SQL,
Chile,11,IT Staff / System Administrator,"<$20,000",,,,,JavaScript,,,,Python,,SQL,
United Kingdom,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,C++,C#,Java,JavaScript,,,PHP,,,SQL,
Singapore,2/5/2014,IT Staff / System Administrator,"$60,000 - $80,000",C,C++,,,,,,,Python,,,
United States,11,IT Staff / System Administrator,"$80,000 - $100,000",,,,,JavaScript,,,,Python,,SQL,
Switzerland,11,IT Staff / System Administrator,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,SQL,
Russia,11,IT Staff / System Administrator,"$20,000 - $40,000",C,,,,,,,,,,,bash
Germany,6/10/2014,IT Staff / System Administrator,Rather not say,,,,,JavaScript,,,PHP,Python,,SQL,Perl
United States,6/10/2014,IT Staff / System Administrator,,,,C#,,JavaScript,,,,,,SQL,
Romania,6/10/2014,IT Staff / System Administrator,"<$20,000",,,,,,,,,Python,,,
Belgium,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",C,,,,,,,,Python,,SQL,
United States,11,IT Staff / System Administrator,,,,,,,,,PHP,,Ruby,,
Finland,11,IT Staff / System Administrator,"$60,000 - $80,000",,,C#,,,,,,,,SQL,Powershell
New Zealand,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,SQL,
United States,11,IT Staff / System Administrator,"$120,000 - $140,000",,,C#,,,,,,,,SQL,powershell
Germany,11,IT Staff / System Administrator,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,
United States,2/5/2014,IT Staff / System Administrator,"$20,000 - $40,000",,,,,,,,PHP,Python,,,
France,2/5/2014,IT Staff / System Administrator,">$140,000",,,,,,,,,Python,Ruby,SQL,
United States,6/10/2014,IT Staff / System Administrator,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,SQL,
Switzerland,11,IT Staff / System Administrator,"$100,000 - $120,000",,,,Java,JavaScript,,,,Python,,SQL,
India,2/5/2014,IT Staff / System Administrator,"<$20,000",,,,,,,,,,,,VBA
Italy,11,IT Staff / System Administrator,Rather not say,,,,,,,,PHP,,,SQL,perl
Netherlands,2/5/2014,IT Staff / System Administrator,,,,,,JavaScript,,,PHP,Python,,SQL,
Canada,11,IT Staff / System Administrator,"$80,000 - $100,000",,,,,,,,,,,,
India,11,IT Staff / System Administrator,"<$20,000",C,C++,C#,Java,JavaScript,Node.js,Objective-C,PHP,Python,Ruby,SQL,
United States,2/5/2014,IT Staff / System Administrator,Student / Unemployed,,,,Java,JavaScript,Node.js,,PHP,,Ruby,SQL,
Sweden,11,IT Staff / System Administrator,"$60,000 - $80,000",,,,,,Node.js,,,,,,bash
Italy,11,IT Staff / System Administrator,"$20,000 - $40,000",,,C#,,,,,PHP,,,SQL,
Germany,6/10/2014,IT Staff / System Administrator,"$20,000 - $40,000",,,,,,,Objective-C,,Python,,,"Scala, Haskell, Julia, Matlab"
United States,11,IT Staff / System Administrator,"$120,000 - $140,000",,C++,C#,Java,,,,,,,SQL,
Russia,6/10/2014,IT Staff / System Administrator,,,,C#,,JavaScript,,,,,,SQL,
Russia,6/10/2014,IT Staff / System Administrator,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,
United States,6/10/2014,IT Staff / System Administrator,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
United States,11,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,PHP,,,SQL,
United States,11,IT Staff / System Administrator,"$40,000 - $60,000",,,,,,,,,,,,VB
Australia,11,IT Staff / System Administrator,"$60,000 - $80,000",,,,,JavaScript,,,,,,SQL,
United States,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,,,,,,,,,,,Perl
Germany,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,,,Java,,,,PHP,,,SQL,
United States,11,IT Staff / System Administrator,Rather not say,,,,,JavaScript,,,,,,SQL,
United Kingdom,11,IT Staff / System Administrator,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,,Bash
Latvia,11,IT Staff / System Administrator,"<$20,000",,,,,,,,PHP,Python,Ruby,SQL,
Canada,6/10/2014,IT Staff / System Administrator,"$60,000 - $80,000",,,,,,,,,,,,
Australia,<2,IT Staff / System Administrator,"$20,000 - $40,000",,,C#,Java,JavaScript,,,,Python,,,
Germany,2/5/2014,IT Staff / System Administrator,Student / Unemployed,,C++,,Java,,,,PHP,,,SQL,
Israel,11,IT Staff / System Administrator,,C,C++,C#,Java,JavaScript,Node.js,Objective-C,PHP,Python,Ruby,SQL,ASM
Canada,6/10/2014,IT Staff / System Administrator,,,,,,,,,,Python,,,
India,6/10/2014,Manager of Developers or Team Leader,">$140,000",C,C++,,Java,,,,,,,,
India,<2,Manager of Developers or Team Leader,Student / Unemployed,C,C++,C#,,JavaScript,,,PHP,,,SQL,
China,6/10/2014,Manager of Developers or Team Leader,"<$20,000",,,,,,,,,,,,
India,2/5/2014,Manager of Developers or Team Leader,"<$20,000",,,,,,,Objective-C,,,,,
India,2/5/2014,Manager of Developers or Team Leader,"$20,000 - $40,000",,,,,,,,,,,,
United States,6/10/2014,Manager of Developers or Team Leader,"$120,000 - $140,000",,,,,,Node.js,,PHP,,,SQL,SAS
Israel,11,Manager of Developers or Team Leader,Rather not say,,,,,,,,,,,,
China,6/10/2014,Manager of Developers or Team Leader,"$100,000 - $120,000",,,,,,,,,,,,
United Kingdom,11,Manager of Developers or Team Leader,"$40,000 - $60,000",,,,,,,,,,,,
India,6/10/2014,Manager of Developers or Team Leader,,,,C#,,JavaScript,,,,,,,
Germany,11,Manager of Developers or Team Leader,,,,,,,,,,,,,
United States,<2,Manager of Developers or Team Leader,Rather not say,,,,,,,,,,,,
Germany,11,Manager of Developers or Team Leader,"$100,000 - $120,000",,,,,,,,,,,,
United States,11,Manager of Developers or Team Leader,">$140,000",,,,,,,,,,,,
Turkey,11,Manager of Developers or Team Leader,Rather not say,,,,,,,,,,,,
United States,11,Manager of Developers or Team Leader,"$120,000 - $140,000",,,,,,,,,,,,
Australia,11,Manager of Developers or Team Leader,">$140,000",,,,,,,,,,,,
India,11,Manager of Developers or Team Leader,"$20,000 - $40,000",,,,,,,,,,,,
United States,11,Manager of Developers or Team Leader,,,,,,,,,,,,,
United Kingdom,11,Manager of Developers or Team Leader,Rather not say,,,,,,,,,,,,
India,6/10/2014,Manager of Developers or Team Leader,Rather not say,,,,,,,,,,,,
Serbia,11,Manager of Developers or Team Leader,"$80,000 - $100,000",C,C++,,,JavaScript,Node.js,,PHP,Python,,SQL,
United Kingdom,11,Manager of Developers or Team Leader,Rather not say,,,C#,,JavaScript,,Objective-C,PHP,,,SQL,
Netherlands,6/10/2014,Manager of Developers or Team Leader,"$80,000 - $100,000",,,,,,,,,,,,
Germany,2/5/2014,Manager of Developers or Team Leader,,,,,,JavaScript,,,PHP,,Ruby,,
South Africa,11,Manager of Developers or Team Leader,"$20,000 - $40,000",,,C#,,,,,,,,SQL,Delphi
United States,<2,Manager of Developers or Team Leader,Rather not say,,,,,,,,,,,,
United States,6/10/2014,Manager of Developers or Team Leader,Rather not say,C,C++,,Java,JavaScript,,,,,Ruby,,
Germany,11,Manager of Developers or Team Leader,Rather not say,,C++,,Java,,,,PHP,,,SQL,
Belarus,6/10/2014,Manager of Developers or Team Leader,"$20,000 - $40,000",,,C#,Java,JavaScript,,,,,,,
United Kingdom,11,Manager of Developers or Team Leader,Rather not say,,C++,C#,Java,,,,PHP,,,SQL,
United States,6/10/2014,Manager of Developers or Team Leader,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
Norway,6/10/2014,Manager of Developers or Team Leader,"$80,000 - $100,000",,,,,,,,PHP,,,SQL,
Poland,11,Manager of Developers or Team Leader,"$40,000 - $60,000",,,,Java,,,,PHP,,,SQL,
Greece,6/10/2014,Manager of Developers or Team Leader,"$20,000 - $40,000",C,C++,,Java,,,Objective-C,,,,SQL,
France,11,Manager of Developers or Team Leader,,,,C#,,,,,,,,SQL,
United Kingdom,11,Manager of Developers or Team Leader,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,,
Russia,11,Manager of Developers or Team Leader,,,,,,JavaScript,,,PHP,,,SQL,Perl
Germany,11,Manager of Developers or Team Leader,,,,,,JavaScript,,,,,Ruby,SQL,
India,6/10/2014,Manager of Developers or Team Leader,Rather not say,,,,Java,JavaScript,,,,,,SQL,jsf
United States,11,Manager of Developers or Team Leader,">$140,000",,C++,,Java,JavaScript,,,,,,,perl
United States,11,Manager of Developers or Team Leader,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,SQL,
India,2/5/2014,Manager of Developers or Team Leader,"<$20,000",,,,,JavaScript,,,,,,,Salesforce
Bolivia,11,Manager of Developers or Team Leader,"$20,000 - $40,000",,,C#,Java,JavaScript,Node.js,,,,,,
United States,11,Manager of Developers or Team Leader,"$100,000 - $120,000",,C++,C#,,,,,,,,,
Germany,11,Manager of Developers or Team Leader,"$100,000 - $120,000",,,,Java,,,,,Python,,SQL,
Italy,<2,Manager of Developers or Team Leader,Student / Unemployed,,,,Java,,,,,Python,,,
United States,11,Manager of Developers or Team Leader,"$100,000 - $120,000",,,,,JavaScript,,,,,Ruby,SQL,Perl
India,<2,Manager of Developers or Team Leader,Rather not say,,,,Java,JavaScript,,,,,,SQL,
Canada,6/10/2014,Manager of Developers or Team Leader,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,
Brazil,6/10/2014,Manager of Developers or Team Leader,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,,,SQL,DELPHI
United States,2/5/2014,Manager of Developers or Team Leader,,,,,,,,,,,,,"neo4j, xml"
United States,11,Manager of Developers or Team Leader,"$80,000 - $100,000",C,,,,,,,PHP,,,SQL,Bash Scripting
United States,11,Manager of Developers or Team Leader,"$120,000 - $140,000",,C++,C#,,,,,,,,SQL,
Russia,6/10/2014,Manager of Developers or Team Leader,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,
Malaysia,2/5/2014,Manager of Developers or Team Leader,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,SQL,
Australia,11,Manager of Developers or Team Leader,"$100,000 - $120,000",,C++,,Java,JavaScript,,Objective-C,PHP,,,SQL,
Ukraine,11,Manager of Developers or Team Leader,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,
Germany,11,Manager of Developers or Team Leader,,,,,Java,JavaScript,,,,,,SQL,
India,2/5/2014,Manager of Developers or Team Leader,"<$20,000",,,C#,,JavaScript,,,,,,,
Mexico,11,Manager of Developers or Team Leader,"$20,000 - $40,000",C,C++,C#,Java,,,,,Python,,SQL,
Canada,11,Manager of Developers or Team Leader,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,,
Macedonia [FYROM],6/10/2014,Manager of Developers or Team Leader,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,
Canada,11,Manager of Developers or Team Leader,Rather not say,,,C#,,,,,,,,SQL,
United States,11,Manager of Developers or Team Leader,">$140,000",,,,Java,JavaScript,,,,,,SQL,
United States,11,Manager of Developers or Team Leader,"$80,000 - $100,000",,C++,C#,Java,JavaScript,,Objective-C,PHP,Python,Ruby,,
United States,11,Manager of Developers or Team Leader,"$80,000 - $100,000",,,,Java,JavaScript,,Objective-C,PHP,Python,,SQL,
India,6/10/2014,Manager of Developers or Team Leader,"<$20,000",,,C#,,JavaScript,,,,,,SQL,
Indonesia,2/5/2014,Manager of Developers or Team Leader,"<$20,000",,,,Java,,,,,,,,
Germany,11,Manager of Developers or Team Leader,Rather not say,,C++,,,,,,,Python,Ruby,SQL,
United States,11,Manager of Developers or Team Leader,">$140,000",,,,,,,,,Python,,SQL,
Spain,11,Manager of Developers or Team Leader,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
South Africa,11,Manager of Developers or Team Leader,Rather not say,,,C#,,JavaScript,,,,,,SQL,Powershell
Japan,11,Manager of Developers or Team Leader,"$100,000 - $120,000",C,,,,,,,,Python,,SQL,"RyuQ, Erlang, Guile/Scheme, Haskell"
Costa Rica,11,Manager of Developers or Team Leader,"$20,000 - $40,000",,,C#,,JavaScript,Node.js,,,,,SQL,
India,6/10/2014,Manager of Developers or Team Leader,"<$20,000",C,C++,,Java,JavaScript,Node.js,,,,,SQL,
Germany,11,Manager of Developers or Team Leader,"$80,000 - $100,000",,,,Java,,,,PHP,,,SQL,"PL1,Cobol,JCL,REXX"
France,6/10/2014,Manager of Developers or Team Leader,Rather not say,C,,,,,,,,Python,,,"CFEngine, Perl"
United Kingdom,11,Manager of Developers or Team Leader,"$80,000 - $100,000",,,C#,,JavaScript,Node.js,,,,,SQL,
